Date,T2M,PRECTOT,RH2M,WS2M,ALLSKY_SFC_SW_DWN,TMAX,TMIN
2020-01-01,98.5,1.95,2.56,2.06,0.68,0.25,3.87
2020-01-02,98.44,4.84,2.26,2.84,0.68,2.63,6.69
2020-01-03,94.06,6.97,2.95,4.41,1.01,1.9,11.44
2020-01-04,94.56,3.88,4.81,2.08,0.18,0.15,8.65
2020-01-05,92.31,4.1,3.89,0.99,0.11,-0.92,8.27
2020-01-06,90.31,2.28,5.93,3.38,0.14,-1.18,6.3
2020-01-07,98.19,6.58,2.43,2.77,0.38,4.12,8.7
2020-01-08,96.25,9.7,1.83,3.41,1.02,8.81,11.37
2020-01-09,91.5,9.87,1.78,5.47,8.04,7.98,12.47
2020-01-10,92.5,5.6,2.73,3.23,0.8,1.3,8.28
2020-01-11,91.56,2.94,4.36,2.76,0.01,0.26,7.19
2020-01-12,94.38,4.76,3.14,4.01,0.16,1.24,7.97
2020-01-13,93.88,6.51,2.06,4.64,0.42,5.23,7.84
2020-01-14,81.19,7.62,2.16,7.71,1.57,5.61,9.28
2020-01-15,89.75,7.51,3.33,5.25,1.16,4.53,12.09
2020-01-16,91.38,7.19,6.34,3.96,0.12,3.67,12.87
2020-01-17,91.44,6.59,3.86,4.16,2.38,3.24,9.76
2020-01-18,93.19,3.14,6.07,2.4,0.12,-1.56,7.55
2020-01-19,89.81,2.58,5.69,3.62,0.05,-1.47,7.13
2020-01-20,92.0,1.65,7.07,3.12,0.12,-0.81,5.98
2020-01-21,91.88,-0.79,6.98,1.91,0.03,-3.67,4.26
2020-01-22,93.25,-1.38,7.03,2.45,0.07,-3.17,3.4
2020-01-23,92.19,-0.73,6.24,2.92,0.06,-3.42,4.14
2020-01-24,96.94,-0.17,6.38,1.05,0.23,-2.35,1.67
2020-01-25,94.94,3.62,4.81,1.8,0.08,0.86,7.94
2020-01-26,96.56,4.92,4.05,3.44,1.87,2.67,6.82
2020-01-27,93.44,7.2,1.57,5.84,7.79,6.22,8.08
2020-01-28,86.0,5.39,5.39,6.7,6.72,3.38,7.15
2020-01-29,90.69,5.13,5.28,4.12,0.28,3.28,9.37
2020-01-30,95.88,7.83,1.96,4.84,3.36,4.28,11.91
2020-01-31,93.25,10.73,5.44,4.34,0.48,8.69,13.08
2020-02-01,89.62,11.32,4.92,5.36,11.84,9.89,14.16
2020-02-02,89.81,12.3,2.42,4.92,11.17,9.9,16.22
2020-02-03,92.94,10.68,2.43,4.12,13.04,5.83,12.23
2020-02-04,83.81,5.62,5.77,5.5,0.71,3.01,8.43
2020-02-05,88.25,4.72,5.84,1.69,0.12,1.96,9.27
2020-02-06,83.62,3.05,9.62,1.91,0.02,-1.01,9.32
2020-02-07,88.12,3.37,9.27,2.97,0.03,-2.74,10.76
2020-02-08,94.88,6.35,3.64,3.38,1.61,3.6,10.03
2020-02-09,88.69,9.44,4.16,9.52,5.82,5.63,12.99
2020-02-10,74.12,9.62,7.14,9.5,5.34,7.08,12.2
2020-02-11,82.12,5.53,7.7,6.66,2.53,1.88,8.69
2020-02-12,87.38,4.76,7.9,4.45,0.36,1.76,9.05
2020-02-13,84.38,7.02,5.87,7.34,6.97,3.3,11.55
2020-02-14,85.69,8.23,5.44,3.34,0.37,6.09,12.37
2020-02-15,85.88,9.12,9.25,5.73,0.24,5.85,13.37
2020-02-16,79.19,12.4,7.1,9.09,8.71,8.01,16.43
2020-02-17,82.06,8.11,7.82,5.68,1.08,4.43,11.13
2020-02-18,82.62,6.55,9.24,5.41,1.28,3.31,10.4
2020-02-19,84.94,6.91,7.43,4.54,4.45,4.66,9.44
2020-02-20,89.69,7.47,4.07,5.53,2.81,2.73,11.37
2020-02-21,82.94,4.96,10.01,3.88,0.04,1.45,10.53
2020-02-22,87.75,7.51,9.57,5.28,0.88,2.26,12.73
2020-02-23,90.44,11.12,2.82,6.43,1.64,8.33,14.47
2020-02-24,87.0,10.69,5.08,5.84,4.09,8.7,13.46
2020-02-25,82.06,7.9,8.37,5.66,4.61,3.98,10.65
2020-02-26,82.31,4.14,9.46,5.38,4.56,1.95,7.69
2020-02-27,90.25,3.44,4.66,5.62,12.28,-0.03,7.09
2020-02-28,93.62,4.34,5.64,4.59,2.08,-1.07,9.39
2020-02-29,81.38,8.19,7.05,7.01,3.2,5.09,10.87
2020-03-01,92.25,5.62,4.94,4.91,11.79,3.4,9.48
2020-03-02,89.56,4.8,5.36,4.77,5.84,1.86,9.4
2020-03-03,92.31,3.34,9.48,2.93,0.78,1.5,7.25
2020-03-04,91.44,4.58,6.96,3.53,3.17,1.73,7.9
2020-03-05,89.88,8.64,4.89,5.15,16.76,5.47,13.61
2020-03-06,81.31,5.26,8.12,4.25,1.57,0.28,9.7
2020-03-07,84.81,5.93,11.88,2.7,0.11,0.23,11.34
2020-03-08,92.25,7.68,6.1,4.89,3.45,5.01,10.73
2020-03-09,83.44,7.2,11.98,4.2,1.71,4.66,11.24
2020-03-10,91.56,11.25,3.98,6.12,4.67,6.11,15.0
2020-03-11,83.25,12.82,9.87,5.98,0.28,9.93,16.81
2020-03-12,76.25,9.27,8.59,5.12,1.03,3.8,12.52
2020-03-13,78.75,6.44,15.17,3.14,0.06,2.37,11.9
2020-03-14,89.69,6.87,8.38,3.09,1.39,2.86,10.54
2020-03-15,83.06,9.22,15.19,3.33,0.05,5.7,15.66
2020-03-16,91.56,8.05,8.62,1.44,0.51,5.39,11.65
2020-03-17,80.19,10.01,9.19,1.05,0.03,4.64,15.55
2020-03-18,78.56,11.98,10.84,1.26,0.03,6.81,17.59
2020-03-19,81.06,12.51,16.0,1.55,0.3,5.44,18.93
2020-03-20,82.31,11.44,14.6,3.94,1.29,6.12,17.15
2020-03-21,82.75,6.37,6.14,5.1,0.51,3.69,9.65
2020-03-22,70.19,5.64,11.46,5.65,0.1,1.81,10.92
2020-03-23,67.06,3.65,19.43,4.29,0.0,-2.31,10.9
2020-03-24,66.81,3.12,19.88,3.38,0.0,-4.14,11.27
2020-03-25,67.38,3.72,19.82,3.16,0.0,-4.13,11.62
2020-03-26,68.62,3.44,19.01,3.48,0.0,-2.63,9.9
2020-03-27,75.81,6.26,17.07,2.59,0.0,-0.49,13.16
2020-03-28,79.81,8.33,17.41,3.81,0.01,2.66,16.11
2020-03-29,65.0,4.22,12.39,6.73,0.05,-0.12,8.08
2020-03-30,61.44,2.72,21.2,5.24,0.0,-3.77,9.12
2020-03-31,76.94,4.89,19.25,3.63,0.05,0.07,11.7
2020-04-01,71.94,4.5,20.86,2.12,0.0,-2.78,12.37
2020-04-02,78.38,4.91,18.3,2.23,0.02,-2.08,11.89
2020-04-03,83.31,8.48,11.13,1.64,0.47,3.38,13.88
2020-04-04,74.06,9.79,21.36,2.41,0.02,4.41,16.44
2020-04-05,71.69,11.4,22.1,3.04,0.0,2.99,20.48
2020-04-06,78.75,11.68,14.32,3.06,1.38,5.9,17.97
2020-04-07,79.88,13.69,17.4,2.48,0.04,7.11,20.7
2020-04-08,68.69,15.75,20.83,1.15,0.0,7.53,23.43
2020-04-09,64.56,16.33,20.01,1.37,0.0,10.3,23.62
2020-04-10,74.0,15.53,19.81,1.79,0.01,7.69,23.62
2020-04-11,68.19,16.46,17.81,1.21,0.01,8.77,23.69
2020-04-12,64.25,16.58,16.52,1.48,0.2,10.89,23.62
