T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN,T2M_MAX,PRECTOTCORR,T2M_MIN
-0.02,91.94,1.06,2.72,4.05,0.31,-2.06
0.03,95.0,0.77,3.87,4.28,0.16,-3.32
0.45,95.06,1.74,2.38,3.69,0.35,-0.93
0.05,95.56,2.59,1.58,2.95,0.43,-1.13
-0.04,94.69,2.45,0.78,3.36,0.16,-1.77
-0.17,95.69,1.88,1.47,3.66,0.15,-2.19
0.32,95.12,1.45,2.14,3.96,0.57,-1.95
-0.42,91.12,1.21,3.64,4.15,0.03,-3.32
-0.74,94.62,2.7,5.52,3.25,0.08,-3.17
-0.6,93.94,1.92,5.87,3.69,0.07,-2.02
1.0,97.12,2.95,3.85,3.9,0.33,-1.97
4.32,97.38,4.48,2.0,9.15,7.46,-0.39
4.87,96.0,3.27,2.24,8.62,3.79,0.12
7.68,94.0,5.23,1.85,9.56,6.53,1.76
-1.05,88.94,3.16,4.94,3.24,0.11,-4.35
-0.6,92.5,3.03,1.46,2.34,7.67,-3.4
2.57,95.56,2.7,4.54,5.56,1.13,0.34
2.44,93.06,2.77,4.57,6.27,0.08,0.15
3.35,92.12,5.32,4.4,5.16,3.11,2.08
6.64,83.94,6.3,4.81,9.53,0.83,3.29
7.37,90.5,6.94,2.84,9.9,10.03,3.22
4.9,88.12,2.18,4.31,7.85,4.52,3.25
1.56,96.12,3.35,3.09,2.76,4.97,-2.02
-0.28,96.25,3.57,2.84,2.01,1.85,-3.38
0.72,89.38,3.27,4.17,4.97,0.12,-2.28
-0.24,91.94,2.92,4.5,2.51,0.47,-2.47
3.98,96.0,3.33,1.59,7.06,6.51,0.69
10.26,92.94,5.26,3.87,13.62,8.54,5.62
8.95,87.75,6.59,4.19,10.81,3.11,5.9
7.9,94.06,2.55,4.03,11.94,13.13,5.78
6.68,96.31,1.91,3.18,8.94,7.47,4.62
6.88,93.88,2.56,3.37,9.73,1.44,4.01
10.3,90.56,5.06,5.32,14.27,3.6,4.73
9.26,89.38,5.74,4.88,13.08,8.78,4.9
6.87,94.25,2.28,5.24,10.2,1.61,4.3
7.76,91.12,1.83,4.77,11.62,0.83,5.74
6.03,94.62,2.77,1.93,8.31,12.65,4.05
0.5,86.5,2.83,2.85,3.62,1.35,-3.6
-2.91,86.06,2.0,2.05,0.64,0.07,-4.96
-2.93,79.0,3.01,2.97,-0.58,0.36,-4.83
-3.34,74.06,4.72,6.93,-0.7,0.26,-5.08
-3.62,79.62,4.28,8.88,0.13,0.0,-5.68
-4.38,77.44,4.85,5.89,-0.29,0.0,-6.77
-4.85,75.0,4.03,9.93,0.16,0.0,-8.99
-2.59,78.5,4.25,9.29,1.85,0.01,-7.31
